Nomor SPK,Tanggal SPK,Nama Kapal,Jumlah Jenis Item,Daftar Uraian Barang,Daftar Part Number,Daftar Qty & Satuan,Rincian Lengkap Barang
1203.SPK/BA.202/BA010102/2026,2026-07-23,Zalecha Baruna,72,"1. MAJUN
2. HAND GLOVES / SARUNG TANGAN KAOS
3. DETERJEN POWDER (RINSO)
4. SOAP CREAM (SABUN COLEK)
5. WD 40
6. PENETRAN (PERONTOK KARAT) STP AP-75
7. HOSE FOR OXIGEN-ACITELIN
8. RED SILICON
9. SENTER MEREK PELIKAN
10. SENTER KEPALA
11. TREEBOND 1104
12. CORDOBON
13. SERAT FIBER (LEBARAN)
14. RESIN + KATALIS
15. KARUNG GONI
16. EXTENSION OFFSET SOCK LY
17. DRESSING BELT
18. TRACKBELT 5 CM X 10 METER
19. TRACKBELT 5 CM X 15 METER
20. KUNCI L
21. GUNTING SENG
22. GUNTING PACKING
23. VALVE GRINDING MACHINE TYPE TS 88
24. HYDROTESTER P/P MODEL KYOWA T60KP
25. DRILL BIT / MATA BOR MADE JERMAN
26. KASSA NYAMUK
27. LONG DRAT M10
28. LONG DRAT M12
29. LONG DRAT M 14
30. LONG DRAT M 16
31. KAPUR LAS
32. KACA LAS HITAM NO.10
33. TOPENG LAS FULL FACE
34. KUNCI PIPA UK 8"" INCHI
35. KUNCI PIPA UK 10"" INCHI
36. HYDROLIK JACK BENDING PIPE
37. DONGKRAK BOTOL CAP 1 TON
38. DONGKRAK BOTOL CAP 5 TON
39. COUPLER SOCKET AIR PLUG
40. DRUM LIFTER
41. KUNCI INGGRIS 12"" INCH
42. KUNCI INGGRIS 8"" INCH
43. KUNCI RACHET SCAFFOLDING UK 46
44. IMPACT Merk DONG CHENG Type DCPB1218
45. KAWAT LAS LB (4.mm)
46. KAWAT LAS LB (3,2mm)
47. KAWAT LAS LB (2.6 mm)
48. WIRE ROPE Dia. 10mm panjang 100cm with eye splice
49. WIRE ROPE Dia. 16mm panjang 150cm with eye splice
50. EYE BOLT M12
51. EYE BOLT M14
52. EYE BOLT M16
53. STRAIGHT SHACKLES 1 Ton
54. STRAIGHT SHACKLES 2 Ton
55. STRAIGHT SHACKLES 4 Ton
56. MASKER GAS RESPIRATOR KN95 + kacamata
57. BOLT & NUT M8 X 5 CM
58. BOLT & NUT M10 X 7 CM
59. BOLT & NUT M12 X 7 CM
60. BOLT & NUT M14 X 7 CM
61. BOLT & NUT M16 X 10 CM
62. FOOT VALVE / TUSSEN KLEP 1"" INCHI
63. KAIN PEL REFFIL
64. CORONG PLASTIK UK 10
65. CORONG PLASTIK UK 3""
66. O RING KIT SET
67. COPPER KIT SET
68. POMPA PNEUMATIC OIL STICK DRUM
69. MESIN BOR
70. KUNCI 8"" INCHI
71. WRAPPING LEBAR 60 CM
72. SEROKAN SAMPAH","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -
14. -
15. -
16. -
17. -
18. -
19. -
20. -
21. -
22. -
23. -
24. -
25. -
26. -
27. -
28. -
29. -
30. -
31. -
32. -
33. -
34. -
35. -
36. -
37. -
38. -
39. -
40. -
41. -
42. -
43. -
44. -
45. -
46. -
47. -
48. -
49. -
50. -
51. -
52. -
53. -
54. -
55. -
56. -
57. -
58. -
59. -
60. -
61. -
62. -
63. -
64. -
65. -
66. -
67. -
68. -
69. -
70. -
71. -
72. -","1. 300 kg
2. 100 lusin
3. 10 pcs
4. 5 pcs
5. 48 pcs
6. 48 pcs
7. 1 roll
8. 36 pcs
9. 4 pcs
10. 12 pcs
11. 6 pcs
12. 10 pcs
13. 24 meter
14. 3 liter
15. 50 pcs
16. 2 pcs
17. 12 pcs
18. 3 pcs
19. 2 pcs
20. 2 pcs
21. 3 pcs
22. 3 pcs
23. 2 unit
24. 1 unit
25. 2 set
26. 1 roll
27. 4 batang
28. 4 batang
29. 2 batang
30. 2 batang
31. 1 pcs
32. 20 pcs
33. 2 pcs
34. 2 pcs
35. 2 pcs
36. 1 set
37. 2 pcs
38. 2 pcs
39. 12 set
40. 4 set
41. 4 pcs
42. 4 pcs
43. 2 pcs
44. 2 set
45. 20 kg
46. 20 kg
47. 20 kg
48. 4 pcs
49. 4 pcs
50. 6 pcs
51. 6 pcs
52. 6 pcs
53. 6 pcs
54. 6 pcs
55. 6 pcs
56. 4 pcs
57. 200 pcs
58. 200 pcs
59. 200 pcs
60. 200 pcs
61. 200 pcs
62. 2 pcs
63. 40 pcs
64. 5 pcs
65. 5 pcs
66. 1 set
67. 1 set
68. 1 unit
69. 1 unit
70. 3 pcs
71. 5 roll
72. 10 pcs","1. MAJUN (300 kg)
2. HAND GLOVES / SARUNG TANGAN KAOS (100 lusin)
3. DETERJEN POWDER (RINSO) (10 pcs)
4. SOAP CREAM (SABUN COLEK) (5 pcs)
5. WD 40 (48 pcs)
6. PENETRAN (PERONTOK KARAT) STP AP-75 (48 pcs)
7. HOSE FOR OXIGEN-ACITELIN (1 roll)
8. RED SILICON (36 pcs)
9. SENTER MEREK PELIKAN (4 pcs)
10. SENTER KEPALA (12 pcs)
11. TREEBOND 1104 (6 pcs)
12. CORDOBON (10 pcs)
13. SERAT FIBER (LEBARAN) (24 meter)
14. RESIN + KATALIS (3 liter)
15. KARUNG GONI (50 pcs)
16. EXTENSION OFFSET SOCK LY (2 pcs)
17. DRESSING BELT (12 pcs)
18. TRACKBELT 5 CM X 10 METER (3 pcs)
19. TRACKBELT 5 CM X 15 METER (2 pcs)
20. KUNCI L (2 pcs)
21. GUNTING SENG (3 pcs)
22. GUNTING PACKING (3 pcs)
23. VALVE GRINDING MACHINE TYPE TS 88 (2 unit)
24. HYDROTESTER P/P MODEL KYOWA T60KP (1 unit)
25. DRILL BIT / MATA BOR MADE JERMAN (2 set)
26. KASSA NYAMUK (1 roll)
27. LONG DRAT M10 (4 batang)
28. LONG DRAT M12 (4 batang)
29. LONG DRAT M 14 (2 batang)
30. LONG DRAT M 16 (2 batang)
31. KAPUR LAS (1 pcs)
32. KACA LAS HITAM NO.10 (20 pcs)
33. TOPENG LAS FULL FACE (2 pcs)
34. KUNCI PIPA UK 8"" INCHI (2 pcs)
35. KUNCI PIPA UK 10"" INCHI (2 pcs)
36. HYDROLIK JACK BENDING PIPE (1 set)
37. DONGKRAK BOTOL CAP 1 TON (2 pcs)
38. DONGKRAK BOTOL CAP 5 TON (2 pcs)
39. COUPLER SOCKET AIR PLUG (12 set)
40. DRUM LIFTER (4 set)
41. KUNCI INGGRIS 12"" INCH (4 pcs)
42. KUNCI INGGRIS 8"" INCH (4 pcs)
43. KUNCI RACHET SCAFFOLDING UK 46 (2 pcs)
44. IMPACT Merk DONG CHENG Type DCPB1218 (2 set)
45. KAWAT LAS LB (4.mm) (20 kg)
46. KAWAT LAS LB (3,2mm) (20 kg)
47. KAWAT LAS LB (2.6 mm) (20 kg)
48. WIRE ROPE Dia. 10mm panjang 100cm with eye splice (4 pcs)
49. WIRE ROPE Dia. 16mm panjang 150cm with eye splice (4 pcs)
50. EYE BOLT M12 (6 pcs)
51. EYE BOLT M14 (6 pcs)
52. EYE BOLT M16 (6 pcs)
53. STRAIGHT SHACKLES 1 Ton (6 pcs)
54. STRAIGHT SHACKLES 2 Ton (6 pcs)
55. STRAIGHT SHACKLES 4 Ton (6 pcs)
56. MASKER GAS RESPIRATOR KN95 + kacamata (4 pcs)
57. BOLT & NUT M8 X 5 CM (200 pcs)
58. BOLT & NUT M10 X 7 CM (200 pcs)
59. BOLT & NUT M12 X 7 CM (200 pcs)
60. BOLT & NUT M14 X 7 CM (200 pcs)
61. BOLT & NUT M16 X 10 CM (200 pcs)
62. FOOT VALVE / TUSSEN KLEP 1"" INCHI (2 pcs)
63. KAIN PEL REFFIL (40 pcs)
64. CORONG PLASTIK UK 10 (5 pcs)
65. CORONG PLASTIK UK 3"" (5 pcs)
66. O RING KIT SET (1 set)
67. COPPER KIT SET (1 set)
68. POMPA PNEUMATIC OIL STICK DRUM (1 unit)
69. MESIN BOR (1 unit)
70. KUNCI 8"" INCHI (3 pcs)
71. WRAPPING LEBAR 60 CM (5 roll)
72. SEROKAN SAMPAH (10 pcs)"
1246.SPK/BA.17/BA010102/2026,2026-07-29,Srikandi Baruna 2205,13,"1. PILOT II WHITE
2. PILOT II STD 7075 GREEN
3. THINNER NO. 02
4. PILOT II STD 258 YELLOW
5. PILOT II STD 439 ORANGE
6. PILOT II STD 926 RED
7. PILOT II GREY STD 403
8. PILOT II BLACK
9. PILOT II STD 2175 BROWN
10. SOLVALITT ALUMINIUM
11. ALKYDPRIMER RED
12. PILOT II PARROT BLUE STD 4202
13. PILOT II BROWN STD 1441","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -","1. 100 liter
2. 100 liter
3. 100 liter
4. 60 liter
5. 60 liter
6. 60 liter
7. 60 liter
8. 60 liter
9. 60 liter
10. 10 liter
11. 60 liter
12. 40 liter
13. 40 liter","1. PILOT II WHITE (100 liter)
2. PILOT II STD 7075 GREEN (100 liter)
3. THINNER NO. 02 (100 liter)
4. PILOT II STD 258 YELLOW (60 liter)
5. PILOT II STD 439 ORANGE (60 liter)
6. PILOT II STD 926 RED (60 liter)
7. PILOT II GREY STD 403 (60 liter)
8. PILOT II BLACK (60 liter)
9. PILOT II STD 2175 BROWN (60 liter)
10. SOLVALITT ALUMINIUM (10 liter)
11. ALKYDPRIMER RED (60 liter)
12. PILOT II PARROT BLUE STD 4202 (40 liter)
13. PILOT II BROWN STD 1441 (40 liter)"
1237.SPK/BA.17/BA010102/2026,2026-07-28,Srikandi Baruna 2205,1,1. TALI PP MONOFILAMENT CIR 10,1. -,1. 1 roll,1. TALI PP MONOFILAMENT CIR 10 (1 roll)
1148.SPK/BA.202/BA010102/2026,2026-07-28,Kartini Baruna,67,"1. ELECTRIC SCALING MACHINE KC-50E 110V/60
2. MESIN CAT SPRAY GUN AIRLESS PAINT SPAYER MERK : TSZUMI, TYPE : X20HD, POWER : 110W VOLTAGE : 220
3. GERINDA TANGAN MERK MAKITA 4 INCH
4. SAPU LANTAI
5. SEROK SAMPAH / PENGKI / DUSTPAN
6. PEL LATAI + GAGANG
7. SEROKAN AIR / LEWA
8. SAPU LIDI
9. SEKOP
10. KUAS BENGKOK 2 INCH
11. REFILL KUAS ROLL MINYAK 4 INCH
12. KUAS ROLL MINYAK (BULU) 10 CM DENGAN GAGANG
13. KUAS ROLL MINYAK (BULU) BESAR 9"" DENGAN GAGANG
14. KUAS ROLL MINYAK REFILL 10 CM
15. KUAS ROLL MINYAK REFILL 9 INCH
16. TONGKAT CAT EXTENSION POLE 1,1 M - 3 M
17. KABEL TIES STAINLESS 4,6 X 200 mm
18. KABEL TIES STAINLESS 4,6 X 300 mm
19. KABEL TIES NILON 4,8 X 300 mm
20. SENTER KEPALA 100 WATT MERK KAWACHI / PUTIH
21. COTTON GLOVE WITH NON SLIP/SARUNG TANGAN BINTIK
22. WIRE CUP BRUSH KEPANG STAINLESS 3 INCH
23. CHIPING HAMMER LAS 500 Gram
24. BLACKMITHS SLEDGE HAMMER (DOUBLE FACE) WITH HADLE 3.6 KG
25. SMOTH + CROSS PEIN HAMMER WITH HANDLE 1,8 KG
26. STELLA SPRAT PENGHARUM RUANGAN 400 ML
27. KAPUR BARUS SWALLOW / KAMPER TOILET ISI 5 PCS
28. RESIN
29. KATALIS 50 ml
30. SLING BELT POLYESTER PANJANG 1,5 m SWL 5 ton
31. SLING BELT POLYESTER PANJANG 3 m SWL 3 ton
32. SLING BELT POLYESTER PANJANG 6 m SWL 5 ton
33. WEBBING SLING BELT 3 TON X 1.5 M
34. WEBBING SLING BELT 5 TON X 3 M
35. WEBBING SLING BELT 10 TON X 6 M
36. JAS HUJAN UKURAN L
37. JAS HUJAN UKURAN XL
38. SPLIT PIN 20 MM
39. SPLIT PIN 30 MM
40. SPLIT PIN 50 MM
41. SPLIT PIN 70 MM
42. SPLIT PIN 100 MM
43. GEMBOK STANLESS PALOMA SIZE 70 MM
44. TANGGA PANDU 25 M INCLUDE CERTIFICATE
45. MAJUN
46. SERBUK GERGAJI
47. STEP UP STEP DOWN 3000 W MERK DAICHI
48. STEP UP STEP DOWN 2000 W MERK DAICHI
49. RODA TROLI NILON 4 INCH (HIDUP)
50. RODA TROLI NILON 4 INCH (MATI)
51. MATA GERINDA POTONG 4 INCH
52. MATA GERINDA POLES 4 INCH
53. KAWAT LAS RB 2.6 MM
54. KAWAT LAS RB 4 MM
55. KAWAT LAS LB 3,2 MM
56. KAWAT LAS LB 4 MM
57. DONGKRAK BOTOL MERK TEKIRO 50 T
58. RILUIN HIPREX 3/4 INCH x 100 m
59. SELANG BENANG MERK TRILIUN HIPREX 1 INCH x 100 m
60. SELANG BENANG MERK TRILIUN HIPREX 2 INCH x 100 m
61. EMBER 10 L
62. GAYUNG
63. SODA API
64. BATTERY KERING 12V 100Ah
65. BETON ESER POLOS 18 mm X 12 m
66. MCCB 3 PHASE (MITSUBISHI MODEL : NF 30-CS 10A)
67. MCCB 2 PHASE (MITSUBISHI MODEL : NF 30-CS 20A)","1. 591217
2. -
3. TYPE 9553B
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -
14. -
15. -
16. -
17. -
18. -
19. -
20. -
21. 1901103
22. -
23. -
24. 612526
25. 612563
26. -
27. -
28. -
29. -
30. -
31. -
32. -
33. -
34. -
35. -
36. -
37. -
38. -
39. -
40. -
41. -
42. -
43. -
44. -
45. -
46. -
47. -
48. -
49. -
50. -
51. -
52. -
53. -
54. -
55. -
56. -
57. -
58. -
59. -
60. -
61. -
62. -
63. -
64. -
65. -
66. -
67. -","1. 2 unit
2. 1 pcs
3. 2 pcs
4. 50 pcs
5. 50 pcs
6. 50 pcs
7. 20 pcs
8. 20 pcs
9. 20 pcs
10. 30 pcs
11. 10 lusin
12. 20 pcs
13. 20 pcs
14. 50 lusin
15. 30 pcs
16. 8 pcs
17. 200 pcs
18. 200 pcs
19. 200 pcs
20. 10 pcs
21. 150 lusin
22. 100 pcs
23. 30 pcs
24. 2 pcs
25. 4 pcs
26. 5 lusin
27. 50 pack
28. 10 kg
29. 6 botol
30. 6 pcs
31. 6 pcs
32. 6 pcs
33. 8 pcs
34. 10 pcs
35. 5 pcs
36. 10 pcs
37. 10 pcs
38. 100 pcs
39. 200 pcs
40. 100 pcs
41. 50 pcs
42. 50 pcs
43. 20 pcs
44. 2 roll
45. 300 kg
46. 200 kg
47. 4 unit
48. 2 unit
49. 10 pcs
50. 10 pcs
51. 100 pcs
52. 50 pcs
53. 15 kg
54. 15 kg
55. 15 kg
56. 10 kg
57. 2 pcs
58. 2 roll
59. 1 roll
60. 3 roll
61. 25 pcs
62. 25 pcs
63. 30 kg
64. 3 pcs
65. 15 batang
66. 2 pcs
67. 2 pcs","1. ELECTRIC SCALING MACHINE KC-50E 110V/60 [PN: 591217] (2 unit)
2. MESIN CAT SPRAY GUN AIRLESS PAINT SPAYER MERK : TSZUMI, TYPE : X20HD, POWER : 110W VOLTAGE : 220 (1 pcs)
3. GERINDA TANGAN MERK MAKITA 4 INCH [PN: TYPE 9553B] (2 pcs)
4. SAPU LANTAI (50 pcs)
5. SEROK SAMPAH / PENGKI / DUSTPAN (50 pcs)
6. PEL LATAI + GAGANG (50 pcs)
7. SEROKAN AIR / LEWA (20 pcs)
8. SAPU LIDI (20 pcs)
9. SEKOP (20 pcs)
10. KUAS BENGKOK 2 INCH (30 pcs)
11. REFILL KUAS ROLL MINYAK 4 INCH (10 lusin)
12. KUAS ROLL MINYAK (BULU) 10 CM DENGAN GAGANG (20 pcs)
13. KUAS ROLL MINYAK (BULU) BESAR 9"" DENGAN GAGANG (20 pcs)
14. KUAS ROLL MINYAK REFILL 10 CM (50 lusin)
15. KUAS ROLL MINYAK REFILL 9 INCH (30 pcs)
16. TONGKAT CAT EXTENSION POLE 1,1 M - 3 M (8 pcs)
17. KABEL TIES STAINLESS 4,6 X 200 mm (200 pcs)
18. KABEL TIES STAINLESS 4,6 X 300 mm (200 pcs)
19. KABEL TIES NILON 4,8 X 300 mm (200 pcs)
20. SENTER KEPALA 100 WATT MERK KAWACHI / PUTIH (10 pcs)
21. COTTON GLOVE WITH NON SLIP/SARUNG TANGAN BINTIK [PN: 1901103] (150 lusin)
22. WIRE CUP BRUSH KEPANG STAINLESS 3 INCH (100 pcs)
23. CHIPING HAMMER LAS 500 Gram (30 pcs)
24. BLACKMITHS SLEDGE HAMMER (DOUBLE FACE) WITH HADLE 3.6 KG [PN: 612526] (2 pcs)
25. SMOTH + CROSS PEIN HAMMER WITH HANDLE 1,8 KG [PN: 612563] (4 pcs)
26. STELLA SPRAT PENGHARUM RUANGAN 400 ML (5 lusin)
27. KAPUR BARUS SWALLOW / KAMPER TOILET ISI 5 PCS (50 pack)
28. RESIN (10 kg)
29. KATALIS 50 ml (6 botol)
30. SLING BELT POLYESTER PANJANG 1,5 m SWL 5 ton (6 pcs)
31. SLING BELT POLYESTER PANJANG 3 m SWL 3 ton (6 pcs)
32. SLING BELT POLYESTER PANJANG 6 m SWL 5 ton (6 pcs)
33. WEBBING SLING BELT 3 TON X 1.5 M (8 pcs)
34. WEBBING SLING BELT 5 TON X 3 M (10 pcs)
35. WEBBING SLING BELT 10 TON X 6 M (5 pcs)
36. JAS HUJAN UKURAN L (10 pcs)
37. JAS HUJAN UKURAN XL (10 pcs)
38. SPLIT PIN 20 MM (100 pcs)
39. SPLIT PIN 30 MM (200 pcs)
40. SPLIT PIN 50 MM (100 pcs)
41. SPLIT PIN 70 MM (50 pcs)
42. SPLIT PIN 100 MM (50 pcs)
43. GEMBOK STANLESS PALOMA SIZE 70 MM (20 pcs)
44. TANGGA PANDU 25 M INCLUDE CERTIFICATE (2 roll)
45. MAJUN (300 kg)
46. SERBUK GERGAJI (200 kg)
47. STEP UP STEP DOWN 3000 W MERK DAICHI (4 unit)
48. STEP UP STEP DOWN 2000 W MERK DAICHI (2 unit)
49. RODA TROLI NILON 4 INCH (HIDUP) (10 pcs)
50. RODA TROLI NILON 4 INCH (MATI) (10 pcs)
51. MATA GERINDA POTONG 4 INCH (100 pcs)
52. MATA GERINDA POLES 4 INCH (50 pcs)
53. KAWAT LAS RB 2.6 MM (15 kg)
54. KAWAT LAS RB 4 MM (15 kg)
55. KAWAT LAS LB 3,2 MM (15 kg)
56. KAWAT LAS LB 4 MM (10 kg)
57. DONGKRAK BOTOL MERK TEKIRO 50 T (2 pcs)
58. RILUIN HIPREX 3/4 INCH x 100 m (2 roll)
59. SELANG BENANG MERK TRILIUN HIPREX 1 INCH x 100 m (1 roll)
60. SELANG BENANG MERK TRILIUN HIPREX 2 INCH x 100 m (3 roll)
61. EMBER 10 L (25 pcs)
62. GAYUNG (25 pcs)
63. SODA API (30 kg)
64. BATTERY KERING 12V 100Ah (3 pcs)
65. BETON ESER POLOS 18 mm X 12 m (15 batang)
66. MCCB 3 PHASE (MITSUBISHI MODEL : NF 30-CS 10A) (2 pcs)
67. MCCB 2 PHASE (MITSUBISHI MODEL : NF 30-CS 20A) (2 pcs)"
1223.SPK/BA.202/BA010102/2026,2026-07-27,,29,"1. MEJA KANTOR DENVER
2. KURSI KANTOR
3. KURSI TAMU KANTOR
4. AC 1 PK DAIKIN
5. REUTER WIFI
6. KABEL ROLL
7. LAPTOP
8. PRINTER HP
9. SAPU IJUK SET
10. SAPU LIDI SET
11. PENGKI BESAR
12. PERALATAN PEL
13. PIRING & GELAS MELAMIN ISI 6 (SET)
14. SENDOK GARPU ISI 12 (SET)
15. SIKAT WC
16. HELM PROYEK
17. ROMPI PROYEK
18. TEMPAT SAMPAH BESAR
19. TEMPAT SAMPAH KECIL
20. GAYUNG & EMBER
21. KOTAK P3K
22. JAM DINDING
23. RAK SEPATU BESI
24. LEMARI ARSIP METAL PINTU METAL NON KACA
25. SMART TV MULTI FUNCTION
26. ADJUSTABLE BRACKET TV
27. KOMPOR INDUKSI
28. KABEL LAN
29. PERALATAN MASAK INDUKSI","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -
14. -
15. -
16. -
17. -
18. -
19. -
20. -
21. -
22. -
23. -
24. -
25. -
26. -
27. -
28. -
29. -","1. 1 pcs
2. 1 pcs
3. 3 pcs
4. 1 pcs
5. 1 pcs
6. 2 pcs
7. 1 pcs
8. 1 pcs
9. 1 pcs
10. 1 pcs
11. 1 pcs
12. 1 pcs
13. 1 pcs
14. 1 pcs
15. 1 pcs
16. 4 pcs
17. 4 pcs
18. 1 pcs
19. 2 pcs
20. 1 pcs
21. 1 pcs
22. 1 pcs
23. 1 pcs
24. 2 pcs
25. 1 pcs
26. 1 pcs
27. 1 pcs
28. 1 pcs
29. 1 pcs","1. MEJA KANTOR DENVER (1 pcs)
2. KURSI KANTOR (1 pcs)
3. KURSI TAMU KANTOR (3 pcs)
4. AC 1 PK DAIKIN (1 pcs)
5. REUTER WIFI (1 pcs)
6. KABEL ROLL (2 pcs)
7. LAPTOP (1 pcs)
8. PRINTER HP (1 pcs)
9. SAPU IJUK SET (1 pcs)
10. SAPU LIDI SET (1 pcs)
11. PENGKI BESAR (1 pcs)
12. PERALATAN PEL (1 pcs)
13. PIRING & GELAS MELAMIN ISI 6 (SET) (1 pcs)
14. SENDOK GARPU ISI 12 (SET) (1 pcs)
15. SIKAT WC (1 pcs)
16. HELM PROYEK (4 pcs)
17. ROMPI PROYEK (4 pcs)
18. TEMPAT SAMPAH BESAR (1 pcs)
19. TEMPAT SAMPAH KECIL (2 pcs)
20. GAYUNG & EMBER (1 pcs)
21. KOTAK P3K (1 pcs)
22. JAM DINDING (1 pcs)
23. RAK SEPATU BESI (1 pcs)
24. LEMARI ARSIP METAL PINTU METAL NON KACA (2 pcs)
25. SMART TV MULTI FUNCTION (1 pcs)
26. ADJUSTABLE BRACKET TV (1 pcs)
27. KOMPOR INDUKSI (1 pcs)
28. KABEL LAN (1 pcs)
29. PERALATAN MASAK INDUKSI (1 pcs)"
1257.SPK/BA.302/BA010102/2026,2026-07-31,Martha Baruna,5,"1. FILTER ELEMENT
2. O-RING
3. O-RING
4. O-RING
5. GASKET","1. 1348493
2. 3035134
3. 3040109
4. 3040108
5. 3030012","1. 60 pcs
2. 10 pcs
3. 10 pcs
4. 10 pcs
5. 180 pcs","1. FILTER ELEMENT [PN: 1348493] (60 pcs)
2. O-RING [PN: 3035134] (10 pcs)
3. O-RING [PN: 3040109] (10 pcs)
4. O-RING [PN: 3040108] (10 pcs)
5. GASKET [PN: 3030012] (180 pcs)"
1218.SPK/BA.202/BA010102/2026,2026-07-31,Adhiguna Tarahan,2,"1. REFILL LPG 50KG
2. REFILL OXYGEN","1. -
2. -","1. 1 pcs
2. 5 pcs","1. REFILL LPG 50KG (1 pcs)
2. REFILL OXYGEN (5 pcs)"
1219.SPK/BA.202/BA010102/2026,2026-07-31,Sartika Baruna,2,"1. REFILL LPG 12KG
2. REFILL OXYGEN","1. -
2. -","1. 1 pcs
2. 5 pcs","1. REFILL LPG 12KG (1 pcs)
2. REFILL OXYGEN (5 pcs)"
1216.SPK/BA.17/BA010102/2026,2026-07-31,Malahayati Baruna,8,"1. HARDTOP SMART PACK II STD 049 RED
2. SOLVALITT ALUMUNIUM
3. PILOT II STD 258 YELLOW
4. HARDTOP SMART PACK II STD 258 YELLOW
5. PILOT II WHITE
6. THINNER NO 02
7. THINNER NO 07
8. THINNER NO 17","1. 9 L
2. 5 L
3. 5 L
4. 9 L
5. 5 L
6. 5 L
7. 5 L
8. 5 L","1. 396 liter
2. 50 liter
3. 50 liter
4. 54 liter
5. 200 liter
6. 100 liter
7. 25 liter
8. 25 liter","1. HARDTOP SMART PACK II STD 049 RED [PN: 9 L] (396 liter)
2. SOLVALITT ALUMUNIUM [PN: 5 L] (50 liter)
3. PILOT II STD 258 YELLOW [PN: 5 L] (50 liter)
4. HARDTOP SMART PACK II STD 258 YELLOW [PN: 9 L] (54 liter)
5. PILOT II WHITE [PN: 5 L] (200 liter)
6. THINNER NO 02 [PN: 5 L] (100 liter)
7. THINNER NO 07 [PN: 5 L] (25 liter)
8. THINNER NO 17 [PN: 5 L] (25 liter)"
1174.SPK/BA.302/BA010102/2026,2026-07-31,Sartika Baruna,6,"1. End Plate I (Titanium)
2. End Plate II (Titanium)
3. Channel Plate (Titanium)
4. Gasket Rubber for End Plate I (EPDM)
5. Gasket Rubber for End Plate II (EPDM)
6. Gasket Rubber for Channel Plate (EPDM)","1. -
2. -
3. -
4. -
5. -
6. -","1. 1 pcs
2. 1 pcs
3. 50 pcs
4. 2 pcs
5. 2 pcs
6. 50 pcs","1. End Plate I (Titanium) (1 pcs)
2. End Plate II (Titanium) (1 pcs)
3. Channel Plate (Titanium) (50 pcs)
4. Gasket Rubber for End Plate I (EPDM) (2 pcs)
5. Gasket Rubber for End Plate II (EPDM) (2 pcs)
6. Gasket Rubber for Channel Plate (EPDM) (50 pcs)"
1241.SPK/BA.7/BA010102/2026,2026-07-31,Sartika Baruna,1,1. Pengurusan dispensasi sekali jalan sertifikat klasifikasi lambung dan sertifikat klasifikasi mesin untuk clearence out ke PLTU 1 Suralaya,1. -,1. 1 lot,1. Pengurusan dispensasi sekali jalan sertifikat klasifikasi lambung dan sertifikat klasifikasi mesin untuk clearence out ke PLTU 1 Suralaya (1 lot)
1220.SPK/BA.302/BA010102/2026,2026-07-31,Malahayati Baruna,5,"1. METAL SEAT GASKET
2. BEARING CASING
3. SET OF GASKET AND BOLT
4. TURBINE SHAFT
5. COMPRESSOR WHEEL","1. 5013
2. 5001
3. -
4. 1001
5. 2001","1. 1 pcs
2. 1 pcs
3. 1 set
4. 1 pcs
5. 1 pcs","1. METAL SEAT GASKET [PN: 5013] (1 pcs)
2. BEARING CASING [PN: 5001] (1 pcs)
3. SET OF GASKET AND BOLT (1 set)
4. TURBINE SHAFT [PN: 1001] (1 pcs)
5. COMPRESSOR WHEEL [PN: 2001] (1 pcs)"
1236.SPK/BA.17/BA010102/2026,2026-07-31,Srikandi Baruna 2206,1,1. TALI PP MONOFILAMENT CIR 10,1. -,1. 1 roll,1. TALI PP MONOFILAMENT CIR 10 (1 roll)
1221.SPK/BA.17/BA010102/2026,2026-07-31,Malahayati Baruna,2,"1. Wire Rope Hoisting
2. Wire Rope Luffing","1. -
2. -","1. 4 pcs
2. 2 pcs","1. Wire Rope Hoisting (4 pcs)
2. Wire Rope Luffing (2 pcs)"
1190.SPK/BA.17/BA010102/2026,2026-07-31,Srikandi Baruna 2203,10,"1. intercom
2. alarm bell
3. OMRON
4. TRAFO POWER
5. FREON R32 KEMASAN 5KG
6. RACOR
7. LUBE FILTER
8. LO FILTER BY PASS
9. LO FILTER
10. BOLA LAMPU NAVIGASI","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -","1. 3 unit
2. 2 pcs
3. 4 pcs
4. 1 unit
5. 1 lot
6. 40 pcs
7. 24 pcs
8. 12 pcs
9. 24 pcs
10. 24 pcs","1. intercom (3 unit)
2. alarm bell (2 pcs)
3. OMRON (4 pcs)
4. TRAFO POWER (1 unit)
5. FREON R32 KEMASAN 5KG (1 lot)
6. RACOR (40 pcs)
7. LUBE FILTER (24 pcs)
8. LO FILTER BY PASS (12 pcs)
9. LO FILTER (24 pcs)
10. BOLA LAMPU NAVIGASI (24 pcs)"
1188.SPK/BA.17/BA010102/2026,2026-07-31,Meutia Baruna,3,"1. INVERTER
2. 591255 HD TOOL
3. MIYAKO RICE COOKER","1. -
2. -
3. -","1. 1 lot
2. 50 set
3. 1 pcs","1. INVERTER (1 lot)
2. 591255 HD TOOL (50 set)
3. MIYAKO RICE COOKER (1 pcs)"
